,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
444,Tim Quarterman,22,POR,SG,16,0,80,.448,14.5,.552,.207,.103,.103,.138,.448,.500,.667,.667,.000,.500,.385,.125,.800,.034,1,.077,.000,0,0,,quartti01
445,Chris McCullough,21,2TM,PF,16,0,80,.500,17.2,.781,.438,.063,.125,.156,.219,.600,.571,.500,1.000,.400,.143,.667,1.000,.156,3,.286,.000,0,0,,mcculch01
445,Chris McCullough,21,BRK,PF,14,0,72,.516,10.4,.806,.452,.065,.129,.161,.194,.600,.571,.500,1.000,.400,.167,.667,1.000,.161,3,.333,.000,0,0,,mcculch01
445,Chris McCullough,21,WAS,PF,2,0,8,.000,24.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,mcculch01
446,Johnny O'Bryant,23,2TM,PF,11,0,80,.500,11.3,.800,.300,.167,.200,.133,.200,.500,.667,.400,.500,.250,.500,.833,1.000,.067,2,.000,,0,0,,obryajo01
446,Johnny O'Bryant,23,DEN,PF,7,0,46,.467,10.5,.800,.333,.200,.133,.133,.200,.417,.800,.000,.500,.000,.667,1.000,1.000,.067,1,.000,,0,0,,obryajo01
446,Johnny O'Bryant,23,CHO,PF,4,0,34,.533,12.1,.800,.267,.133,.267,.133,.200,.583,.500,1.000,.500,.500,.333,.714,1.000,.067,1,.000,,0,0,,obryajo01
447,Reggie Williams,30,NOP,SF,6,0,79,.348,16.6,.522,.174,.087,.087,.174,.478,.250,.500,.000,.500,.000,.455,.333,.800,.000,0,.364,.250,0,0,,willire02
448,Tiago Splitter,32,PHI,C,8,0,76,.452,6.7,.806,.613,.194,.000,.000,.194,.480,.526,.333,,,.333,.750,1.000,.032,1,.167,.000,0,0,,splitti01
449,Daniel Ochefu,23,WAS,C,19,0,75,.444,3.7,1.000,.630,.296,.037,.037,.000,.444,.529,.375,.000,.000,,.667,,.148,4,,,0,0,,ochefda01
450,Jerryd Bayless,28,PHI,PG,3,1,71,.344,12.0,.844,.313,.094,.250,.188,.156,.333,.700,.333,.125,.000,.400,.222,.000,.000,0,.000,,0,0,,bayleje01
451,Jarell Eddie,25,PHO,SF,5,0,62,.316,21.9,.158,.105,.000,.053,.000,.842,.667,1.000,,.000,,.250,.500,1.000,.000,0,.250,.250,0,0,,eddieja01
452,Joel Bolomboy,23,UTA,PF,12,0,53,.563,8.6,.750,.500,.188,.000,.063,.250,.667,.750,.667,,.000,.250,.750,1.000,.250,3,.250,.000,0,0,,bolomjo01
453,Chinanu Onuaku,20,HOU,C,5,1,52,.714,2.1,1.000,.714,.286,.000,.000,.000,.714,.800,.500,,,,.800,,.429,2,,,0,0,,onuakch01
454,Isaiah Taylor,22,HOU,PG,4,0,52,.143,11.9,.714,.286,.286,.000,.143,.286,.200,.000,.000,,1.000,.000,1.000,,.000,0,.500,.000,0,0,,taylois01
455,Marcus Georges-Hunt,22,ORL,SG,5,0,48,.286,12.5,.714,.286,.286,.000,.143,.286,.200,.000,.500,,.000,.500,1.000,1.000,.000,0,.000,,0,0,,georgma01
456,Jordan Hill,29,MIN,C,7,0,47,.385,7.9,1.000,.385,.231,.154,.231,.000,.385,.600,.000,.000,.667,,.200,,.077,1,,,0,0,,hilljo01
457,Axel Toupane,24,2TM,SF,4,0,47,.556,21.0,.556,.111,.000,.000,.444,.444,.800,1.000,,,.750,.250,.750,1.000,.000,0,.750,.000,0,0,,toupaax01
457,Axel Toupane,24,MIL,SF,2,0,6,.000,23.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,1.000,.000,0,0,,toupaax01
457,Axel Toupane,24,NOP,SF,2,0,41,.625,19.0,.625,.125,.000,.000,.500,.375,.800,1.000,,,.750,.333,.750,1.000,.000,0,.667,.000,0,0,,toupaax01
458,Kyle Wiltjer,24,HOU,PF,14,0,44,.286,25.7,.071,.000,.000,.000,.071,.929,.000,,,,.000,.308,,.750,.000,0,.000,,0,0,,wiltjky01
459,Patricio Garino,23,ORL,SG,5,0,43,.000,22.8,.286,.000,.000,.000,.286,.714,.000,,,,.000,.000,,,.000,0,.800,.000,0,0,,garinpa01
460,Bruno Caboclo,21,TOR,SF,9,0,40,.375,13.5,.625,.313,.125,.000,.188,.375,.400,.400,.000,,.667,.333,.500,1.000,.063,1,.500,.000,0,0,,cabocbr01
461,Lamar Patterson,25,ATL,SG,5,0,40,.200,13.1,.600,.333,.133,.133,.000,.400,.222,.200,.000,.500,,.167,.000,1.000,.000,0,.167,1.000,0,0,,pattela01
462,Greivis Vásquez,30,BRK,PG,3,0,39,.250,14.2,.625,.125,.375,.125,.000,.375,.200,.000,.000,1.000,,.333,.000,.000,.000,0,.000,,0,0,,vasqugr01
463,Jordan Farmar,30,SAC,PG,2,0,35,.333,21.5,.250,.167,.083,.000,.000,.750,.000,.000,.000,,,.444,,.750,.000,0,.222,.000,0,0,,farmajo01
464,Jarrett Jack,33,NOP,PG,2,0,33,.667,15.2,.667,.333,.000,.000,.333,.333,1.000,1.000,,,1.000,.000,.500,,.000,0,1.000,.000,0,0,,jackja01
465,Michael Gbinije,24,DET,SG,9,0,32,.100,14.2,.600,.400,.000,.000,.200,.400,.167,.250,,,.000,.000,.000,,.000,0,.000,,0,0,,gbinimi01
466,Justin Harper,27,PHI,PF,3,0,31,.417,18.5,.417,.083,.167,.083,.083,.583,.600,1.000,.000,1.000,1.000,.286,1.000,1.000,.000,0,.000,,0,0,,harpeju01
467,Josh Huestis,25,OKC,PF,2,0,31,.545,12.5,.636,.364,.091,.000,.182,.364,.571,.750,.000,,.500,.500,.750,1.000,.364,3,.250,1.000,0,0,,huestjo01
468,Arinze Onuaku,29,ORL,C,8,0,28,.500,8.0,1.000,.000,.750,.250,.000,.000,.500,,.667,.000,,,1.000,,.000,0,,,0,0,,onuakar01
469,Edy Tavares,24,2TM,C,2,0,28,.800,2.3,1.000,.400,.600,.000,.000,.000,.800,1.000,.667,,,,.750,,.200,1,,,0,0,,tavarwa01
469,Edy Tavares,24,ATL,C,1,0,4,1.000,0.1,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,1.000,,1.000,1,,,0,0,,tavarwa01
469,Edy Tavares,24,CLE,C,1,0,24,.750,4.5,1.000,.250,.750,.000,.000,.000,.750,1.000,.667,,,,.667,,.000,0,,,0,0,,tavarwa01
470,Manny Harris,27,DAL,SG,4,0,25,.200,10.3,.867,.267,.333,.000,.267,.133,.231,.500,.200,,.000,.000,.333,,.000,0,.000,,0,0,,harrima01
471,Mike Tobey,22,CHO,C,2,0,25,.250,5.6,1.000,.750,.000,.000,.250,.000,.250,.333,,,.000,,.000,,.250,0,,,0,0,,tobeymi01
472,Diamond Stone,19,LAC,C,7,0,24,.231,10.3,1.000,.308,.231,.154,.308,.000,.231,.250,.000,.000,.500,,1.000,,.000,0,,,0,0,,stonedi01
473,Elijah Millsap,29,PHO,SG,2,0,23,.143,14.2,.714,.286,.143,.000,.286,.286,.200,.500,.000,,.000,.000,.000,,.000,0,.000,,0,0,,millsel01
474,Steve Novak,33,MIL,PF,8,0,22,.286,23.3,.143,.000,.143,.000,.000,.857,1.000,,1.000,,,.167,1.000,1.000,.000,0,.167,1.000,0,0,,novakst01
475,Gary Neal,32,ATL,SG,2,0,18,.000,19.8,.714,.000,.000,.143,.571,.286,.000,,,.000,.000,.000,,,.000,0,.000,,0,0,,nealga01
476,Aaron Harrison,22,CHO,SG,5,0,17,.000,22.2,.500,.000,.000,.000,.500,.500,.000,,,,.000,.000,,,.000,0,.500,.000,0,0,,harriaa01
477,Demetrius Jackson,22,BOS,PG,5,0,17,.750,15.2,.750,.250,.000,.000,.500,.250,.667,1.000,,,.500,1.000,.500,1.000,.000,0,.000,,0,0,,jacksde01
478,Larry Sanders,28,CLE,C,5,0,13,.250,2.8,1.000,.750,.250,.000,.000,.000,.250,.333,.000,,,,.000,,.000,0,,,0,0,,sandela01
479,John Jenkins,25,PHO,SG,4,0,13,.400,21.8,.600,.000,.000,.000,.600,.400,.333,,,,.333,.500,1.000,1.000,.000,0,.500,.000,0,0,,jenkijo01
480,Dahntay Jones,36,CLE,SF,1,0,12,.375,10.6,.750,.250,.250,.125,.125,.250,.500,1.000,.000,.000,1.000,.000,1.000,,.000,0,1.000,.000,0,0,,jonesda02
481,John Lucas III,34,MIN,PG,5,0,11,.250,13.8,.750,.250,.000,.500,.000,.250,.333,1.000,,.000,,.000,.000,,.000,0,.000,,0,0,,lucasjo02
482,Ben Bentil,21,DAL,PF,3,0,10,.000,15.6,.667,.000,.333,.000,.333,.333,.000,,.000,,.000,.000,,,.000,0,1.000,.000,0,0,,bentibe01
483,R.J. Hunter,23,CHI,SG,3,0,9,.000,24.9,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,hunterj01
484,Brice Johnson,22,LAC,PF,3,0,9,.286,5.7,1.000,.429,.429,.143,.000,.000,.286,.667,.000,.000,,,.500,,.000,0,,,0,0,,johnsbr02
485,Jarnell Stokes,23,DEN,C,2,0,7,1.000,1.9,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,1.000,,.000,0,,,0,0,,stokeja01
486,Danuel House Jr.,23,WAS,SG,1,0,1,,,,,,,,,,,,,,,,,,0,,,0,0,,houseda01
,League Average,,,,,,,.457,13.0,.684,.290,.152,.099,.142,.316,.503,.631,.414,.412,.402,.358,.495,.835,.051,,.228,.388,,,,-9999
