,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
91,Julius Randle,22,LAL,PF,74,73,2132,.488,7.1,.918,.437,.335,.062,.085,.082,.507,.651,.367,.500,.318,.270,.489,.941,.067,50,.063,.500,0,0,,randlju01
92,Dario Šarić,22,PHI,PF,81,36,2129,.411,14.2,.632,.283,.146,.056,.149,.368,.469,.599,.437,.404,.275,.311,.513,.925,.015,12,.082,.357,1,0,ROY-2,saricda01
93,Robert Covington,26,PHI,SF,67,67,2119,.399,16.2,.437,.288,.101,.016,.031,.563,.484,.588,.257,.333,.348,.333,.652,.942,.027,14,.080,.303,0,0,DPOY-4,covinro01
94,Ryan Anderson,28,HOU,PF,72,72,2116,.418,19.9,.345,.144,.074,.035,.092,.655,.446,.568,.351,.444,.338,.403,.378,.975,.009,6,.142,.542,0,0,,anderry01
95,JaMychal Green,26,MEM,PF,77,75,2101,.500,11.3,.710,.434,.084,.058,.136,.290,.549,.608,.310,.414,.559,.379,.600,.982,.116,49,.552,.425,0,0,,greenja01
96,James Johnson,29,MIA,PF,76,5,2085,.479,12.4,.667,.354,.159,.083,.073,.333,.548,.632,.451,.469,.429,.340,.306,.931,.049,36,.336,.384,5,0,6MOY-5,johnsja01
97,Bojan Bogdanović,27,2TM,SF,81,54,2083,.445,15.5,.536,.290,.102,.077,.067,.464,.512,.620,.395,.308,.456,.367,.509,.924,.025,18,.227,.427,0,0,,bogdabo02
97,Bojan Bogdanović,27,BRK,SF,55,54,1482,.440,14.6,.547,.319,.092,.074,.062,.453,.509,.610,.411,.289,.395,.357,.488,.929,.028,14,.235,.446,0,0,,bogdabo02
97,Bojan Bogdanović,27,WAS,SF,26,0,601,.457,16.4,.509,.214,.128,.085,.081,.491,.521,.660,.367,.350,.579,.391,.565,.911,.017,4,.209,.375,0,0,,bogdabo02
98,Derrick Rose,28,NYK,PG,64,64,2082,.471,8.8,.939,.411,.201,.149,.177,.061,.487,.557,.413,.432,.457,.217,.217,.692,.009,8,.183,.455,5,0,,rosede01
99,Blake Griffin,27,LAC,PF,61,61,2076,.493,10.7,.884,.348,.192,.061,.283,.116,.514,.669,.409,.322,.436,.336,.499,.974,.078,68,.239,.481,1,0,,griffbl01
100,Kevin Durant,28,GSW,PF,62,62,2070,.537,13.8,.696,.268,.116,.161,.151,.304,.608,.796,.487,.430,.555,.375,.565,.803,.107,107,.125,.436,2,0,MVP-9ASNBA2,duranke01
101,Jonas Valančiūnas,24,TOR,C,80,80,2066,.557,6.3,.997,.446,.295,.145,.113,.003,.557,.626,.570,.431,.405,.500,.615,1.000,.100,67,.000,,1,0,,valanjo01
102,Darren Collison,29,SAC,PG,68,64,2063,.476,14.0,.755,.223,.150,.112,.272,.245,.495,.597,.439,.450,.459,.417,.360,.753,.001,1,.280,.571,1,0,,collida01
103,Patrick Beverley,28,HOU,SG,67,67,2058,.420,15.9,.470,.210,.173,.055,.033,.530,.463,.544,.436,.367,.222,.382,.297,.836,.004,1,.323,.387,1,0,DPOY-8DEF1,beverpa01
104,Austin Rivers,24,LAC,SG,74,29,2054,.442,13.6,.591,.298,.183,.055,.055,.409,.491,.592,.403,.475,.250,.371,.208,.703,.015,6,.197,.390,0,0,,riverau01
